"lfc.LB"	"lfc.high_pCA"	"lfc.low_pCA"	"lfc.glucose"	"lfc.acetate"
"PP_4076"	0	0	0.14835	0.17573	0.18908
"fliN"	0	-0.1262	0.17933	0.084674	0.16804
"PP_0151"	0	-0.0084208	0.20821	0.15035	0.097333
"PP_1519"	0	0	0.20251	0.12284	0
"yciO"	0	0	0.20156	0.11821	0
"PP_3335"	0	0	0.17679	0.1313	0
"PP_3641"	0	0	0.168	0.092693	0
"mrpE"	0	0	0.17591	0.24727	0
"argE"	0	0	0.1755	0.22133	0
"czcC"	0	0	0.19298	0.15893	0
"PP_4312"	0	0	0.17256	0.1558	0
"fliR"	0	-0.039272	0.17688	0.1803	0
"lcdH"	0	0	0.12429	0.22456	0
"PP_2765"	0	0	0.12748	0.17612	0
"opdB"	0	0	0.11424	0.17501	0
"fliG"	0.052318	-0.11096	0.18676	0.19824	0
"fliM"	0	-0.11003	0.20472	0.15261	0
"fliF"	0	-0.15682	0.11892	0.20181	0
"htrB"	0	-0.080113	-0.11468	0.31276	0.11222
"mltF"	0	-0.17997	-0.14456	0.31996	0.19804
"PP_2030"	0	-0.20342	-0.15116	0.28683	0.15634
"PP_2032"	-0.017649	-0.18437	-0.11625	0.29889	0.10201
"flgF"	0	-0.082905	0	0.37663	0
"flgB"	0	-0.13985	0	0.41045	-0.02709
"PP_2028"	0	-0.19321	-0.0029289	0.35787	0
"PP_2029"	0	-0.23397	-0.10745	0.33245	0
"hslU"	0	0	-0.1197	0.2712	0
"priA"	0	0	-0.12954	0.31246	-0.047491
"PP_3603"	0	-0.067717	-0.085029	0.29754	0
"PP_0393"	0	-0.13156	-0.1098	0.29686	-0.022758
"groS"	-0.047146	-0.084982	-0.24228	0.33747	-0.079163
"PP_4333"	0.12056	0	0	0.2754	0
"flgH"	0.11223	-0.054879	0	0.19342	-0.070781
"PP_4942"	0	-0.024805	0.12509	0.24566	-0.10259
"flgE"	0	0	0	0.23465	-0.1389
"fliO"	0.068978	-0.070275	0	0.25729	-0.0052192
"flgD"	0	-0.080016	0	0.27562	0
"PP_mr10"	0	-0.10161	0	0.2432	0
"PP_0945"	0	-0.067109	0	0.22883	-0.053
"pfpI"	0	-0.087655	-0.018369	0.20087	-0.065172
"PP_4334"	0	-0.083717	0	0.24199	-0.097389
"PP_4860"	0	0	0	0.30506	0
"clpB"	0	0	0	0.29485	0
"PP_4937"	0	0	0	0.29266	0
"PP_5721"	0	0	0	0.28975	0
"PP_1528"	0	0	0	0.28262	0
"PP_3024"	0	0	0	0.2774	0
"PP_1544"	0	0	0	0.27463	0
"csbD"	0	0	0	0.27434	0
"yeaD"	0	0	0	0.27371	0
"PP_2580"	0	0	-0.01629	0.27519	0
"PP_4611"	0	0	0	0.26449	0
"PP_1174"	0	0	0	0.26136	0
"pctA"	0	0	0	0.25941	0
"PP_1008"	0	0	0	0.25849	0
"PP_0181"	0	0	0	0.25681	0
"PP_4332"	0	0	0	0.256	0
"PP_1553"	0	-0.018014	0	0.23338	0.027503
"hflX"	0	-0.035618	0	0.26307	0
"fruB"	0	-0.035039	0	0.25088	0
"corC"	0	-0.03615	0	0.24824	0
"glmM"	0	0	0	0.24825	0
"PP_5322"	0	0	0	0.24326	0
"PP_5618"	0	0	0	0.24227	0
"PP_1106"	0	0	0	0.24163	0
"PP_5499"	0	0	0	0.24084	0
"colR"	0	0	0	0.23942	0
