"lfc.LB"	"lfc.high_pCA"	"lfc.low_pCA"	"lfc.glucose"	"lfc.acetate"
"PP_3306"	0	0	-0.020674	0.071085	0
"endX"	0	0	-0.028489	0.066652	0
"PP_4226"	0	0	-0.048639	0.10652	0
"PP_1516"	0	-0.0095338	-0.04816	0.095939	0
"PP_4329"	0	0	-0.053105	0.078182	0
"xcpU"	0	-0.043175	-0.058537	0.098626	0
"emrA"	0	-0.040498	-0.056235	0.091487	0
"tpx"	0	-0.029483	-0.04238	0.068944	0
"PP_2687"	0	-0.036563	-0.068417	0.063111	0
"acoA"	0	-0.16542	0	0.18025	0
"PP_1663"	0	-0.11351	0	0.13703	0
"dppA-I"	0	-0.12624	0	0.13564	0
"PP_1716"	0	-0.14799	0	0.13565	0
"PP_1557"	0	-0.13936	-0.0037669	0.09529	0
"cobH"	0	-0.10569	-0.0074602	0.16525	-0.054874
"PP_0281"	0	-0.12409	0	0.14547	-0.037149
"algE"	0	-0.11488	-0.061619	0.15449	-0.08896
"mexB"	0	0	-0.076453	0.23126	-0.053003
"ftsX"	0	-0.024704	-0.11923	0.20432	-0.050381
"PP_3726"	0	-0.050895	-0.068476	0.19847	-0.070587
"PP_2027"	0	-0.057846	-0.11133	0.242	-0.087238
"csdA"	0	0	-0.11931	0.21791	0
"PP_3593"	0	0	-0.12488	0.18599	0
"PP_5090"	0	-0.031909	-0.12656	0.21682	0
"PP_5445"	0	-0.077546	-0.099229	0.17406	0
"PP_2182"	-0.013093	-0.048135	-0.12226	0.14368	0
"modA"	0	0	-0.12333	0.14817	0
"PP_3150"	0	0	-0.14174	0.13022	-0.027538
"PP_0616"	0	0	-0.071273	0.17864	-0.11758
"bioF"	0	0	-0.07813	0.158	-0.10598
"yhgF"	0	-0.0057898	-0.13411	0.16343	-0.094174
"PP_3877"	0	-0.012814	-0.096936	0.13865	-0.14774
"tatB-I"	0	0	-0.10403	0.16752	-0.17268
"PP_0088"	0	0	-0.10067	0.13991	-0.18333
"PP_3815"	0	-0.093506	-0.078883	0.19575	-0.18906
"gacS"	0	0.21744	0.1704	0.11828	0.33769
"PP_4173"	0	0.18484	0.22789	0.12875	0.25294
"amiC"	0	0.2005	0.20505	0.15326	0.18904
"wbpV"	-0.021981	0.24369	0.17312	0.10288	0.17975
"PP_5158"	0.069788	0.14414	0.12814	0.15592	0.17392
"patD"	0.064113	0.0873	0.095344	0.13095	0.1869
"PP_mr13"	0	0.071895	0.15642	0.22827	0.18029
"msrC"	0	0.065547	0.076933	0.17773	0.16892
"PP_3776"	0	0.076749	0.076314	0.14675	0.17505
"PP_5542"	0	0.16513	0.20862	0	0.2523
"wbpZ"	0	0.20337	0.20629	0	0.1821
"oprF"	0	0.10209	0.24062	0	0.20848
"pilT"	0	0.10227	0.18778	0	0.18214
"dedA"	0	0.13452	0.20788	-0.053099	0.17414
"PP_0806"	0.085858	0.25466	0	0.11504	0.2021
"fadBA"	0	0.1486	0	0.20285	0.21228
"PP_4470"	0	0.11699	0	0.19647	0.19902
"PP_4612"	0	0.15601	0	0.18732	0.17318
"PP_2547"	0	0.12841	0	0.18147	0.19013
"PP_3304"	0	0.12875	0	0.17014	0.17765
"PP_2874"	0	0.17408	0	0.16614	0.16071
"PP_3761"	0	0.15821	0	0.1496	0.17716
"algQ"	0	0.097366	0	0.15668	0.20744
"sctS"	0	0.094891	0	0.13964	0.19903
"PP_1421"	0	0.10408	0	0.1433	0.18456
"PP_3224"	0	0.12015	0	0.12489	0.20473
"PP_3835"	0	0.10996	0	0.10996	0.20236
"PP_2544"	0	0.07468	0	0.1795	0.16417
"PP_2853"	0	0.07139	0	0.16029	0.18647
"plsX"	0	0.10212	0	0.1787	0.13672
"PP_2922"	0	0.12357	0	0.15837	0.13129
"PP_1781"	0	0.11733	0	0.14878	0.16786
"PP_5673"	0	0.12336	0	0.12762	0.14227
"PP_2363"	0	0.1131	0	0.11334	0.15463
"PP_1882"	0.094435	0.12935	0	0.11002	0.18051
"yheS"	0	0.20211	0	0.079276	0.18342
"PP_4949"	0	0.14064	0	0.05702	0.20243
"PP_1155"	0	0.12101	0	0.061485	0.16767
"PP_1270"	0	0.14913	0	0.11592	0.10851
"PP_0496"	0	0.13463	0	0.13465	0.086404
"mtnA"	0	0.092977	0	0.11815	0.09615
"PP_2121"	0	0.17915	0.11582	0	0.10221
"PP_0858"	0	0.19452	0	0.012198	0.12774
"PP_2744"	0	0.16263	0	0	0.13684
"petC"	0	0.14039	0	0	0.1425
"gpD"	0	0.12882	0	0.0015376	0.13218
"chpB"	0	0.15138	0	0	0.10222
"aspC"	0	0.15897	0	0	0.094561
"PP_3710"	0	0.17837	0	0	0.21107
"puuD"	0	0.1587	0	0	0.17035
"PP_2045"	0	0.1705	0	-0.015073	0.17042
"rmf"	0	0.15098	0	0	0.21345
"betT-II"	0	0.14393	0	0	0.21485
"PP_1193"	0	0.13711	0	0	0.20914
"PP_2990"	0	0.13732	0	0	0.17885
"PP_4975"	0	0.1234	0	0	0.19239
"zwf"	0	0.11576	0	-0.0077461	0.23604
"PP_2140"	0	0.11124	0	0	0.21128
"PP_0204"	0	0.10475	0	0	0.20652
"PP_2828"	0.082326	0.10156	0	0	0.21097
"PP_1072"	0	0.079309	0	0.041739	0.16864
"PP_1029"	0	0.10717	0	0	0.16348
"PP_1411"	0	0.10388	0	0	0.16226
"PP_0535"	0	0.11071	0	0	0.15185
"galE"	0	0.11714	0	-0.0010439	0.1428
"PP_4594"	0	0.1116	0	0	0.13908
"pntAB"	0	0.059593	0	0	0.22784
"PP_0163"	0	0.06043	0	0	0.19513
"PP_2938"	0	0.047456	0	0	0.18588
"PP_4539"	0	0.037452	0	0	0.18679
"thiI"	0	0.18998	0	0.30945	0
"PP_1111"	0	0.22077	0	0.27447	0
"grxD"	0	0.18578	0	0.25975	0
"motB"	0.0843	0.12234	0	0.23889	0
"paaB"	0	0.1319	0	0.25556	0
"PP_1494"	0	0.13866	0	0.23979	0
"PP_3712"	0	0.13903	0	0.2385	0
"PP_0742"	0	0.12363	0	0.2166	0
"elbB"	0	0.11154	0	0.22554	0
"PP_3971"	0	0.11017	0	0.22302	0
"tauB-I"	0	0.11051	0	0.20138	0
"PP_1348"	0	0.10911	0	0.19724	0
"PP_5496"	0	0.076967	-0.013098	0.21243	0
"PP_1271"	0.080189	0.1846	0	0.14844	0
"PP_2506"	0.072758	0.14624	0	0.10688	0
"PP_5342"	0.056294	0.14015	0	0.1201	0
"PP_2778"	0.053745	0.12833	0	0.12838	0
"PP_3950"	0.12244	0.09655	0	0.12255	0
"PP_3803"	0.088532	0.10401	0	0.15285	-0.021823
"prpF"	0.092157	0.083448	0	0.14121	0
"ggt"	0	0.13229	0.12231	0.18409	0
"pbpG"	0	0.10879	0.1241	0.1502	0
"PP_4520"	0	0.086983	0.081928	0.1998	0
"fliY"	0	0.10523	0	0.186	0
"PP_4311"	0	0.096995	0	0.17892	0
"rbsA-II"	0	0.096163	0	0.17435	0
"PP_1552"	0	0.10708	0	0.17514	0
"PP_2791"	0	0.10139	0	0.1716	0
"PP_1978"	0	0.10905	0	0.16822	0
"PP_5488"	0	0.08419	0	0.18424	0
"cbiD"	0	0.082238	0	0.17751	0
"PP_2104"	0	0.083635	0	0.17047	0
"cobQ"	0	0.083001	0	0.16324	0
"PP_5590"	0	0.10315	0	0.1448	0.037688
"PP_0905"	0	0.086565	0	0.14658	0.041494
"PP_3740"	0	0.076397	0	0.1575	0.023274
"PP_2422"	0	0.086143	0	0.14735	0
"PP_4941"	0	0.086111	0	0.14721	0
"PP_1688"	0	0.081533	0	0.15097	0
"xcpS"	0	0.073874	0	0.14859	0
"PP_2950"	0	0.07933	0	0.14396	0
"PP_5575"	0	0.080068	0	0.13955	0
"ate"	0.041216	0.10533	0	0.144	0
"pcaF-II"	0	0.12219	0	0.14605	0
"PP_1234"	0	0.11267	0	0.1496	0
"PP_3680"	0	0.10979	0	0.14126	0
"PP_3097"	0	0.10447	0	0.16003	0
"PP_2416"	0	0.10232	0	0.15495	0
"PP_3535"	0	0.10007	0	0.14557	0
"livF-I"	0	0.098437	0	0.13914	0
"PP_3882"	0	0.092503	0	0.13688	0
"folEA-II"	0	0.092759	0	0.13654	0
"PP_3564"	0	0.094254	0	0.13369	0
"PP_1637"	0	0.087934	0	0.12722	0
"pta"	0	0.090408	0	0.11568	0
"PP_0894"	0	0.085843	0	0.11993	0
"PP_3183"	0	0.07833	0	0.12058	0
"miaA"	0	0.10591	0	0.13162	0
"PP_3247"	0	0.097859	0	0.12796	0
"uvrB"	0	0.10537	0	0.1148	0
"gpsA"	0	0.093723	-0.0019934	0.11231	-0.014418
"PP_0778"	0	0.072558	0	0.18698	0
"PP_1007"	0	0.066477	0	0.19213	0
"PP_0866"	0	0.046305	0	0.19169	0
"PP_5245"	0	0.054767	0	0.17898	0
"PP_3768"	0	0.053717	0	0.17221	0
"PP_0766"	0	0.050596	0	0.16984	0
"PP_2577"	0	0.066608	0	0.1348	0
"fdoI"	0	0.066728	0	0.13324	0
"mcoA"	0	0.067363	0	0.13036	0
"phnN"	0	0.047983	0	0.12496	0
"PP_4970"	0	0.053449	0	0.15808	0
"PP_0924"	0	0.036947	0	0.16099	0
"PP_3269"	0	0.036656	0	0.15779	0
"PP_4987"	0	0.042384	0	0.14996	0
"fruA"	0	0.030277	0	0.13266	0
"ogt"	0	0.023554	0	0.1348	0
"PP_2188"	-0.062477	0.11724	0	0.16807	0
"PP_1577"	-0.067154	0.059205	0	0.19192	0
"PP_4959"	0	0.30378	0	0.1311	0
"mhpT"	0	0.26374	0	0.1314	0
"PP_mr22"	0	0.28222	0	0.10846	0
"PP_0588"	0	0.29094	0	0.090218	0
"PP_1109"	0.0022394	0.15781	0	0.16778	0.058176
"PP_mr33"	0	0.1743	0	0.2077	0
"PP_0574"	0	0.16743	0	0.17839	0
"PP_3978"	0	0.16042	0	0.18008	0
"PP_5471"	0	0.14907	0	0.21071	0
"PP_3075"	0	0.1391	0	0.21043	0
"mmsA-I"	0	0.14496	0	0.18852	0
"PP_0173"	0	0.13369	0	0.20038	0
"hupN"	0	0.13202	0	0.19482	0
"PP_0352"	0	0.12827	0	0.18753	0
"mutL"	0	0.12981	0	0.18421	0
"PP_2915"	0	0.13609	0	0.17601	0
"PP_4017"	-0.042855	0.22283	0	0.20566	0
"livH"	-0.049642	0.21754	0	0.12883	0
"rbsB"	0.031982	0.21778	0	0.084667	0
"PP_2164"	0	0.22916	0	0.092117	0
"PP_1272"	0	0.19287	0	0.090884	0
"PP_2413"	0	0.19973	0	0.081086	0
"PP_2692"	0	0.17543	0	0.10175	0
"PP_2184"	0	0.17691	0	0.080533	0
"PP_0804"	0	0.1775	0	0.13961	0
"PP_3307"	0	0.16555	0	0.13594	0
"oplB"	0	0.17005	0	0.12726	0
"PP_1793"	0	0.14869	0	0.15916	0
"PP_0197"	0	0.14603	0	0.15884	0
"PP_5613"	0	0.15101	0	0.14614	0
"selD"	0	0.1384	0	0.1504	0
"PP_2496"	0	0.12972	0	0.15375	0
"PP_3066"	0	0.15499	0	0.1288	0
"PP_3336"	0	0.15172	0	0.11275	0
"PP_5537"	0	0.14498	0	0.1183	0
"PP_0161"	0	0.14368	0	0.11896	0
"PP_3565"	0	0.13895	0	0.11968	0
"actP-II"	0	0.13947	0	0.13297	0
"PP_2099"	0	0.13689	0	0.13715	0
"algR"	0	0.13534	0	0.13266	0
"PP_0922"	0	0.13389	0	0.134	0
"dauA"	0	0.128	0	0.12442	0
"PP_3305"	0	0.1272	0	0.12375	0
"PP_4972"	0	0.13158	0	0.11803	0
"pydB"	0	0.12744	0	0.11964	0
"PP_0790"	0	0.12659	0	0.11512	0
"ccoP-I"	0	0.11619	0	0.13377	0
"PP_2760"	0	0.11529	0	0.13306	0
"PP_3855"	0	0.1182	0	0.13095	0
"PP_4074"	0	0.12006	0	0.12723	0
"yrpB"	0	0.15165	0	0.09318	0
"PP_0091"	0	0.145	0	0.10092	0
"PP_1708"	0	0.14664	0	0.096067	0
"PP_2308"	0	0.13986	0	0.092309	0
"PP_4554"	0	0.15858	0	0.082429	0
"cysE"	0	0.15216	0	0.0835	0
"arsB-I"	0	0.13701	0	0.07603	0
"PP_0370"	0.028659	0.12766	0	0.073131	0
"PP_3236"	0	0.16007	0	0.057772	0
"PP_0892"	0	0.15273	0	0.060303	0
"PP_3672"	0	0.13337	0	0.1003	0
"csgG"	0	0.12897	0	0.1032	0
"PP_3757"	0	0.12298	0	0.10037	0
"uxpA"	0	0.12699	0	0.094535	0
"PP_1849"	0	0.12203	0	0.091318	0
"PP_3892"	0	0.11407	0	0.10211	0
"PP_0870"	0	0.11022	0	0.10167	0
"PP_1643"	0	0.11208	0	0.099164	0
"PP_4393"	0	0.11394	0	0.095358	0
"gabP-II"	0	0.10122	0	0.08854	0
"nicP-II"	0	0.10473	0	0.083251	0
"PP_4940"	0	0.075725	0.33695	0.12853	0
"PP_1151"	0	0	0.40779	0	0
"ttg2D"	-0.10187	0.13824	0.2655	-0.08047	0.017386
"PP_2282"	0	0.053248	0.22816	0	0
"PP_t62"	0	0	0.28917	0	0
"cusF"	0	0	0.25763	0	0
"PP_5576"	0	0	0.25229	0	0
"PP_5679"	0	0	0.24139	0	0
"PP_5493"	0	0	0.23317	0	0
"PP_4885"	0	0	0.24356	-0.078944	0
"PP_4509"	0	0.22795	0.22555	0.059382	0.081527
"rlmN"	0	0.23554	0.21179	0	0
"PP_0435"	0	0.20263	0.2586	0	0
"PP_5204"	0	0.20041	0.22345	0	0
"PP_4152"	0	0.15026	0.22618	0.11235	0
"nicX"	0	0.14678	0.20023	0.14158	0
"PP_2767"	0	0.13965	0.16112	0.12505	0
"rbsD"	0	0.12424	0.15372	0.08201	0
"cobS"	0	0.087007	0.19182	0.078653	0
"exbD"	0	0.16677	0.15461	0	0
"PP_3409"	0	0.10415	0.19018	0	0
"artJ"	0	0.11992	0.16899	0	0
"PP_3196"	0	0.092676	0.10072	0	0
"PP_4921"	0.060427	0	0.18782	0.057452	0
"PP_4207"	0	0	0.20248	0.04735	0
"PP_5516"	0	0	0.21821	0	0
"PP_0541"	0	0	0.2107	0	0
"PP_3967"	0	0	0.19651	0	0
"PP_5609"	0	0	0.1951	0	0
"PP_2685"	0	0	0.19405	0	0
"PP_5680"	0	0	0.19075	0	0
"PP_1422"	0	0	0.18808	0	0
"PP_3692"	0	0	0.18319	0	0
"PP_3337"	0	0	0.17441	0.02378	0
"PP_0568"	0	0	0.17316	0	0
"PP_2369"	0	0	0.16939	0	0
"PP_3011"	0	0	0.16632	0	0
"PP_4623"	0	0	0.16488	0	0
"PP_3572"	0	0	0.16121	-0.0018007	0
"PP_4295"	0	0	0.15874	0	0
"PP_1724"	0	0	0.14677	0	0
"PP_1631"	0	0	0.14406	0	0
"PP_4886"	0	0	0.13283	0	0
"PP_3799"	0	0	0.1261	0	0
"PP_1712"	0	0	0.14316	-0.029776	0
"PP_3393"	0	0	0.098341	0	0
"ppsA"	0	-0.091471	0	0	0.62898
"PP_1157"	0	0	0	0	0.32985
"PP_mr06"	0	0	0	0	0.32837
"PP_5567"	0	0	0	0	0.32494
"PP_mr56"	0	0	0	0	0.31935
"PP_2081"	-0.052385	0	0	-0.061232	0.39917
"PP_5655"	-0.13821	0	0	0	0.35724
"dksA"	0	0	-0.1679	-0.067528	0.33275
"PP_3521"	0.10572	0	0	0.068284	0.1508
"csoR"	0.069083	0	0	0	0.1808
"PP_3550"	0.090582	-0.036952	0	0	0.17525
"dgcA"	0	0	0	0.093045	0.24777
"mlaD"	0	0	0	0.09908	0.22452
"PP_3180"	0	0	0	0.061289	0.24148
"PP_2481"	0	0	0	0.07426	0.20843
"PP_2241"	0	0	0.057333	0.055521	0.15322
"yfiH"	0	0	-0.0060665	0.062012	0.15678
"PP_3202"	0	0	0	0.046979	0.16463
"PP_1759"	0	0	0	0.048954	0.14453
"PP_0715"	0	-0.031611	0	0.068136	0.15547
"PP_4662"	0	0	0	0.036502	0.19163
"PP_1697"	0	0	0	0	0.21649
"cbpM"	0	0	0	0	0.21239
"PP_3742"	0	0	0	0	0.21163
"PP_0939"	0	0	0	0	0.21093
"PP_5442"	0	0	0	0	0.20486
"PP_3777"	0	0	0	0	0.20251
"PP_5598"	0	0	0	0	0.20208
"PP_5427"	0	0	0	0	0.2017
"PP_3697"	0	0	0	0	0.19781
"PP_3779"	0	0	0	0	0.19588
"PP_3708"	0	0	0	0	0.19571
"nfnB"	0	0	0	0	0.19541
"yjcH"	0	0	0	0	0.1937
"PP_1925"	0	0	0	0	0.19267
"PP_1266"	0	0	0	-0.0054913	0.19187
"PP_3843"	0	-0.045813	0	0.033835	0.20654
"PP_5034"	0	-0.044822	0	0.048179	0.18182
"cspD"	0	0	0	0	0.28056
"PP_3895"	0	0	0	0	0.27052
"PP_5625"	0	0	0	0	0.2627
"PP_1449"	0	-0.046949	0	-0.018544	0.25192
"PP_1939"	0	0	0	0	0.25353
"PP_2016"	0	0	0	0	0.2491
"PP_5681"	0	0	0	0	0.24814
"PP_5453"	0	0	0	0	0.24655
"PP_2498"	0	0	0	0	0.24443
"secB"	0	0	0	0	0.24093
"crp"	0	0.0023912	0	0	0.23616
"PP_1114"	0	0	0	0	0.23192
"PP_4649"	0	0	0	0	0.22676
"PP_5717"	0	0	0	0	0.22581
"syrB"	0	0	0	0	0.22506
"PP_2381"	0	0	0	0	0.22196
"PP_4776"	0	0	0	-0.022317	0.22635
"PP_3884"	0	0	-0.037699	0	0.22085
"mfd"	0	-0.0012157	0	-0.10307	0.24148
"PP_4515"	0	-0.045016	0	-0.051204	0.15604
"tolB"	0	0	0	-0.11047	0.14061
"PP_3907"	0	0.11157	0	0	0.095417
"rlmAA"	0	0.10322	0	0	0.082726
"PP_5094"	0	0.073346	0	0	0.083877
"PP_4537"	0	0.066653	-0.024097	-0.065022	0.11222
"PP_5136"	0	0.019079	0	0.036929	0.088114
"PP_4781"	0	0	0	0.026982	0.093051
"ampD"	0.028519	0	0	0	0.097951
"ygjP"	0	0	0	0	0.084925
"PP_3557"	0	0	0	0	0.069211
"PP_2304"	0	-0.00012058	0	0	0.069027
"PP_0079"	0	0	0	0	0.067504
"PP_4309"	0	0	0	0	0.067011
"yliI"	0	-0.019657	0	0	0.055098
"PP_0140"	0	-0.035185	0	0	0.08831
"PP_5099"	0	0	-0.025384	0	0.059928
"PP_0718"	0	0	-0.053831	0	0.071465
"fau"	0.0076197	0	0	0	0.18104
"PP_2749"	0	0	0	0	0.18861
"yhfA"	0	0	0	0	0.18714
"dgt"	0	0	0	0	0.18597
"PP_0642"	0	0	0	0	0.1851
"yajO"	0	0	0	0	0.18434
"PP_5474"	0	0	0	0	0.18295
"PP_0069"	0	0	0	0	0.18235
"PP_4410"	0	0	0	0	0.18196
"PP_0098"	0	0	0	0	0.18184
"PP_4045"	0	0	0	0	0.18117
"PP_5614"	0	0	0	0	0.18112
"PP_2587"	0	0	0	0	0.17937
"PP_0033"	0	0	0	0	0.17787
"PP_0335"	0	0	0	0	0.17758
"gltP"	0	0	0	0	0.17419
"PP_5557"	0	0	0	0	0.17322
"PP_1116"	0	0	0	0	0.1722
"PP_1572"	0	0	0	0	0.17192
"PP_3610"	0	0	0	0	0.1712
"sctC"	0	-0.0083095	0	0	0.17723
"acoC"	0	0	0	0.014347	0.15606
"ynfM"	0	0	0	0	0.16488
"PP_4861"	0	0	0	0	0.16475
"PP_2806"	0	0	0	0	0.15999
"PP_5604"	0	0	0	0	0.15928
"PP_3833"	0	0	0	0	0.15831
"PP_0270"	0	0	0	0	0.15665
"dsbA"	0	0	0	0	0.15508
"PP_1932"	0	0	0	0	0.15215
"PP_2754"	0	0	0	0	0.14925
"PP_1153"	0	0	0	0	0.14872
"PP_1264"	-0.013331	0	0	0	0.15315
"PP_1853"	0	0	0	-0.025947	0.20256
"vdlD"	0	0	0	-0.036294	0.19674
"PP_2561"	0	0	0	-0.043075	0.17523
"PP_1698"	0	0	0	0	0.13927
"ureD"	0	0	0	0	0.13428
"PP_2569"	0	0	0	0	0.13084
"PP_5690"	0	0	0	0	0.13056
"alaA"	0	0	0	0	0.12459
"PP_3480"	0	0	0	0	0.1176
"PP_2700"	0	0	0	0	0.1148
"PP_1121"	0	0	0	0	0.11388
"PP_0076"	0	0	0	-0.04006	0.13027
"agmR"	-0.053529	0	0	0	0.17881
"slyB"	-0.072989	0	0	0	0.14874
"PP_5683"	-0.14972	0	0	0	0.15655
"PP_2086"	0	0.15502	0	0.12658	-0.2262
"rbfA"	-0.10991	0.20747	0	0.10862	-0.3399
"pgpA"	0	0	0	0.38497	-0.35019
"hflK"	0	-0.059221	0	0.24456	-0.29329
"hflC"	0	0	0	0.19244	-0.37151
"PP_2235"	0.037682	0	-0.17154	0	-0.33839
"thiL"	0	0	-0.13017	-0.010808	-0.3345
"fpr-II"	0	-0.0047949	-0.17058	-0.047833	-0.32218
"fabF"	-0.046789	0	-0.17851	0.043545	-0.30273
"PP_2447"	0	-0.04103	-0.21845	-0.0066646	-0.3273
"hupB"	0	0	-0.31211	0	-0.40097
"flgI"	0.072983	-0.11509	-0.29953	-0.0031092	-0.48178
"leuB"	0	-0.14054	-0.27511	0	-0.45217
"PP_t45"	0	0	0	0	-0.48771
"PP_1635"	0	0	0	-0.00050971	-0.51638
"PP_t40"	0	0	0	0	-0.57285
"aruC"	0	0	-0.047667	-0.039955	-0.54416
"PP_3988"	0	-0.10526	0	0	-0.62413
"PP_3989"	0	-0.14586	0	0	-0.58567
"PP_mr03"	0	0	0	0	-0.69267
"leuC"	0	-0.059935	-0.12893	-0.073907	-0.73959
"PP_4688"	0	-0.20061	-0.012748	0.10776	-0.13731
"ihfB"	-0.10995	-0.17881	0	0.073797	-0.20402
"hupA"	0	-0.26948	0	-0.10263	-0.11867
"hemN"	0	-0.22013	0	-0.13035	-0.15446
"hinT"	-0.040987	-0.35022	-0.02655	0	-0.15834
"PP_2984"	0	-0.36816	-0.080196	-0.00046362	-0.14765
"PP_4176"	0	-0.096707	0	0	-0.11363
"metH"	0	-0.090615	-0.029041	0.011818	-0.10067
"hbd"	0	-0.090889	-0.04234	0	-0.10943
"PP_3750"	0	-0.1178	-0.063723	0	-0.1082
"PP_1526"	0	-0.062417	-0.04304	-0.0066134	-0.15806
"PP_2379"	0	-0.052531	-0.052086	-0.033998	-0.17375
"PP_2647"	0	-0.088594	-0.010836	-0.041033	-0.16655
"PP_0619"	-0.070068	-0.043983	-0.085763	-2.0812e-05	-0.1202
"prlC"	-0.091573	-0.056924	-0.12079	-0.034054	-0.11424
"PP_1128"	-0.078419	-0.10491	-0.065652	-0.092329	-0.10973
"PP_4851"	0	-0.059696	-0.15222	0.036975	-0.16564
"PP_4583"	0	-0.057208	-0.11518	0	-0.17606
"PP_5144"	0	-0.071092	-0.089935	0.016547	-0.20219
"PP_3085"	0	-0.097071	-0.11341	0.035118	-0.19207
"PP_3926"	0	-0.075203	-0.16143	-0.024442	-0.16869
"cobC"	0	-0.09628	-0.13555	-0.051436	-0.19497
"PP_1460"	0	-0.13188	-0.095591	0	-0.15431
"PP_4957"	-0.023978	-0.102	-0.13076	-0.0051027	-0.16225
"sixA"	0	-0.16796	-0.1293	-0.0037044	-0.10638
"PP_1148"	0	-0.16558	-0.13891	0	-0.16667
"pvdM"	0	-0.13027	-0.095181	0	-0.23094
"pilG"	0	-0.16454	-0.074329	0	-0.2523
"hutC"	0	-0.20283	-0.097604	0	-0.23199
"PP_mr40"	-0.19486	-0.12441	-0.064645	0	-0.21902
"PP_4664"	-0.10555	-0.1236	-0.089117	-0.041268	-0.25012
"PP_5114"	-0.023878	-0.15112	-0.031091	-0.06618	-0.41004
"PP_mr05"	0	-0.34879	0	0	-0.36737
"spuF"	0	-0.16745	0	-0.18398	-0.26196
"nuoM"	-0.07767	-0.14222	0	-0.1803	-0.28684
"nuoL"	0	-0.14235	-0.071439	-0.21682	-0.30783
"clpP"	-0.10037	-0.24474	-0.12239	-0.15379	-0.28058
"pilH"	-0.0721	-0.19549	-0.15567	-0.19796	-0.3151
"PP_t39"	0.48144	0	0	0	0
"PP_0218"	0	-0.14095	-0.014008	0.12132	0.17348
"PP_0164"	0	-0.25296	0	0	0.23445
"PP_2705"	0	-0.11313	0	0	0
"PP_2771"	0	-0.11399	0	0	0
"clpA"	0	-0.11701	0	0	0
"PP_2953"	0	-0.11732	0	0	0
"ttg2E"	0	-0.1179	0	0	0
"PP_1242"	0	-0.12012	0	0	0
"PP_3525"	0	-0.12682	0	0	0
"PP_mr39"	0	-0.12703	0	0	0
"flgK"	0	-0.13199	0	0	0
"PP_5540"	0	-0.13204	0	0	0
"PP_5524"	0	-0.13275	0	0	0
"PP_1717"	0	-0.13233	0	0.021878	0
"fliL"	0	-0.13864	0	0.001635	0
"PP_4444"	0	-0.14045	0	0	0
"fliD"	0	-0.14149	0	0	0
"PP_4364"	0	-0.14871	0	0	0
"rhlB"	0	-0.13848	0	-0.0191	0
"PP_1475"	0	-0.15152	0	-0.031405	0
"PP_1474"	-0.0071933	-0.13222	-0.033124	0	0
"PP_3441"	0	-0.14946	-0.027491	-0.017781	0
"PP_1455"	0	-0.17042	0	0	0
"PP_4377"	0	-0.17244	0	0	0
"PP_2499"	0	-0.18846	0	0	0
"folP"	0	-0.18901	0	0	0
"PP_0914"	0	-0.20875	0	0	0
"PP_2433"	0	-0.26845	0	0	0
"pcaR"	0	-0.2327	-0.07182	0	0
"PP_5661"	0	-0.19634	-0.12319	0	0
"PP_mr24"	0	-0.15796	-0.16615	0	0
"pcaK"	0	-0.17966	-0.17867	-0.034894	0
"zapE"	0	-0.23327	-0.080594	0	-0.088122
"PP_5646"	0	-0.26592	-0.11513	0	-0.077398
"PP_4501"	0	-0.26139	-0.17314	-0.0076689	-0.097406
"kdpF"	0	-0.30132	-0.22743	0	0
"ttgB"	0	-0.31201	-0.22593	0	0
"PP_5729"	0	-0.14691	-0.077418	-0.11708	0
"PP_1813"	0.01009	-0.12759	-0.071837	-0.13496	-0.019996
"csrA"	0	-0.16071	-0.047894	-0.15447	0
"PP_3082"	0	-0.10361	-0.13636	-0.17766	0
"glyA-I"	0	-0.12411	-0.14626	-0.16378	-0.039436
"PP_5312"	0	-0.1462	-0.15403	-0.20945	-0.038334
"PP_0110"	0	-0.17669	-0.11264	-0.070508	-0.091854
"coaD"	0	-0.1792	-0.17788	-0.10747	-0.066252
"PP_4695"	0	-0.27228	-0.052517	-0.17683	-0.0078312
"PP_5426"	0	-0.35083	-0.07572	-0.12248	0
"PP_3555"	0	-0.2643	-0.088738	-0.28699	-0.022565
"gmd"	0	0.22411	0.12805	-0.097308	0
"prfC"	0	0.2273	0	-0.090163	-0.031884
"ppk"	0	0.22792	0	-0.12652	0
"metE"	0.1247	0.15437	0	0	0
"hicB"	0.078013	0.14679	0	0	0
"PP_3677"	0.069233	0.14016	0	0	0
"PP_2320"	0.094551	0.11475	0	0	0
"PP_1501"	0.061306	0.096792	0	0	0
"PP_5504"	0	0.21854	0	0	0
"PP_2238"	0	0.19796	0	0.018522	0
"pqqA"	0	0.20311	0	0	0
"TpbB"	0	0.20288	0	0	0
"rbsK"	0	0.19462	0	0	0
"yihS"	0	0.19302	0	0	0
"PP_3738"	0	0.18695	-0.04133	0	0
"dsbD-II"	0	0.18295	0	0	0
"tcyP"	0	0.17767	0	0	0
"PP_2109"	0	0.17297	0	0	0
"PP_0875"	0	0.17175	0	0	0
"PP_4330"	0	0.16531	0	0	0
"PP_1560"	0	0.16431	0	0	0
"aguA"	0	0.17284	0	-0.020283	0
"benD"	0	0.15832	0	-0.014835	0
"PP_4306"	0	0.16183	0	-0.026561	0
"PP_5360"	0	0.16008	0	0	0
